GM2338,h1-hESC,B cell,Macrophage,T cell,CD4 T cell,CD8 T cell,Kidney Epithelial,Bronchial Epithelial,Mammary Epithelial,Osteoblast,gdT cell,Regulatory T cell,MG,Astrocyte,Hepatocyte,Mel L,Mel H1,Mel H2,Mel 5.1,Mel 6.1,HMEC 5.1,HMEC 5.2,HMEC 5.3,HMEC 5.4,HMEC 5.5,HMEC 6.1,HMEC 6.2,HMEC 6.3,HMEC 6.4,NK 5.1,NK 5.2,NK 5.3,NK 5.4,NK 5.5,NK 6.1,NK 6.2,NK 6.4
REST,Sox2,Tcfl5,NFE2,ERF,RFX3,Tcfl5,NFKB1/HNF1A,TFCP2,BACH1,NFIA,ETV5,ETV5,ELF1,JDP2,CEBPA,E2F7,MITF,E2F7,MITF,RXRG,GRHL3,GRHL3,,GRHL3,,GRHL3,GRHL3,GRHL3,,JUN,JUN,JUN,JUN,JUN,JUN,JUN,JUN
NFIB,TEAD3,NFYB,SP4,Gabpa,RUNX3,RUNX3,BACH1,RUNX2,TP73,SIX5,TCF7L2,KLF9,ELF3,RFX5,FOSL1,SOX10,ETS1,ETS1,ETS1,ETS1,NFYC,NFYC,,NFYC,,NFYC,NFYC,NFYC,,ELK4,MBD4,RFX5,IRF8,BACH2,IRF8,ZNF107,MBD4
JUN,TEAD4,RUNX3,CTCF,RUNX3,RUNX2,RUNX2,BACH2,NFIA,JDP2,POU6F1,Klf4,RUNX2,Hes1,FOSB,FOSL2,PAX3,HOXC9,HOXC9,SOX10,HOXC9,VDR,VDR,,VDR,,VDR,VDR,VDR,,ETS1,ETS1,ETS1,ETS1,ETS1,ETS1,ETS1,ETS1
JUNB,NFYB,EBF1,SPI1,RUNX2,ERF,ERF,RFX3,TEAD1,SP4,GMEB2,CTCF,CTCF,ZBTB1,CBFB,GRHL1,RXRG,TFAP2A,TFAP2A,TFAP2A,TFAP2A,KLF5,NCOR1,,NCOR1,,KLF5,NCOR1,NCOR1,,FLI1,FLI1,FLI1,FLI1,FLI1,FLI1,FLI1,FLI1
JUND,ZIC3,Gmeb1,CEBPA,ETS1,Gabpa,Gabpa,NFIC/Rfx1,TEAD3,NFIB,EBF1,ERF,NFYB,SPI1,ZNF148,HNF1A,,,,RXRG,E2F7,MAX,HINF,,SMAD4,,MAX,SMAD4,ZNF143,,IRF4,IRF4,IRF4,IRF4,IRF4,IRF4,IRF4,IRF4
FOS,RFX2,SP4,JUN,ETV3,ETS1,ETS1,SP4,JDP2,JUN,NFIB,Gabpa,ERF,ETV6,JUN,Klf4,,,,,MSC,,,,,,ZNF143,HINF,HINF,,,,,,,ELK4,ELK4,ELK4
FOSL1,RFX5,KLF9,JUNB,FLI1,ETV3,ETV3,Tcfl5,JUN,JUNB,Bcl6,ETS1,Gabpa,MEF2A,JUND,KLF5,,,,,,,,,,,,,,,,,,,,,,
SP4,NFIC/Rfx1,HES4,JUND,ELK3,FLI1,FLI1,RUNX2,JUND,JUND,IRF9,ETV3,ETS1,MEF2C,ERF,MXI1,,,,,,,,,,,,,,,,,,,,,,
EGR2,POU3F1,SPI1,FOS,ELK4,ELK4,ELK4,JDP2,GRHL1,FOS,CDC5L,FLI1,ETV3,MEF2D,ERG,NFIA,,,,,,,,,,,,,,,,,,,,,,
Atf3,NRF1,NRF1,FOSL2,SP4,Gmeb1,Gmeb1,JUN,Atf3,FOSL1,NFIC/Rfx1,ELK1,FLI1,ELF4,FLI1,RFX3,,,,,,,,,,,,,,,,,,,,,,
JDP2,Gmeb1,RFX3,ELF1,Gmeb1,SP4,SP4,JUND,CEBPA,FOSL2,NFIX,ELK4,ELK1,STAT2,ELK4,RFX5,,,,,,,,,,,,,,,,,,,,,,
NFE2,JUN,RFX5,ELF3,KLF9,KLF9,KLF9,Atf3,CEBPB,TP53,HMBOX1,RUNX3,ELK4,Gmeb1,Tcfl5,TEAD1,,,,,,,,,,,,,,,,,,,,,,
Hes1,NFYA,MXI1,ELF4,REST,ZBTB1,NFYB,RFX5,CEBPD,TEAD1,SMAD1,RUNX2,Gmeb1,USF1,XBP1,TEAD3,,,,,,,,,,,,,,,,,,,,,,
