FASTQ,CT
LIB038546_GEN00143088_S3_L001_R1.fastq,gdT cell
LIB038546_GEN00143088_S3_L001_R2.fastq,gdT cell
LIB038546_GEN00143090_S5_L001_R2.fastq,B cell
LIB038546_GEN00143091_S6_L001_R1.fastq,Bronchial Epithelial
LIB038546_GEN00143091_S6_L001_R2.fastq,Bronchial Epithelial
LIB038546_GEN00143092_S7_L001_R1.fastq,Mammary Epithelial
LIB038546_GEN00143092_S7_L001_R2.fastq,Mammary Epithelial
LIB038546_GEN00143093_S8_L001_R1.fastq,Mammary Epithelial
LIB038546_GEN00143093_S8_L001_R2.fastq,Mammary Epithelial
LIB038546_GEN00143094_S9_L001_R1.fastq,Kidney Epithelial
LIB038546_GEN00143095_S10_L001_R1.fastq,Kidney Epithelial
LIB038546_GEN00143095_S10_L001_R2.fastq,Kidney Epithelial
LIB038546_GEN00143097_S12_L001_R1.fastq,Macrophage
LIB040007_GEN00149333_S1_L001_R1.fastq,Astrocyte
LIB040007_GEN00149333_S1_L001_R2.fastq,Astrocyte
LIB040007_GEN00149334_S2_L001_R1.fastq,Astrocyte
LIB040007_GEN00149334_S2_L001_R2.fastq,Astrocyte
LIB040007_GEN00149335_S3_L001_R1.fastq,Macrophage
LIB040007_GEN00149335_S3_L001_R2.fastq,Macrophage
LIB040007_GEN00149336_S4_L001_R1.fastq,Macrophage
LIB040007_GEN00149336_S4_L001_R2.fastq,Macrophage
LIB040007_GEN00149337_S5_L001_R1.fastq,Kidney Epithelial
LIB040007_GEN00149337_S5_L001_R2.fastq,Kidney Epithelial
LIB040007_GEN00149338_S6_L001_R1.fastq,Kidney Epithelial
LIB040007_GEN00149338_S6_L001_R2.fastq,Kidney Epithelial
LIB040007_GEN00149339_S7_L001_R1.fastq,MG
LIB040007_GEN00149339_S7_L001_R2.fastq,MG
LIB040007_GEN00149340_S8_L001_R1.fastq,MG
LIB040007_GEN00149340_S8_L001_R2.fastq,MG
LIB040007_GEN00149341_S9_L001_R1.fastq,B cell
LIB040007_GEN00149341_S9_L001_R2.fastq,B cell
LIB040007_GEN00149342_S10_L001_R1.fastq,T cell
